GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
01966	18098023	4176221	6.988	1.612	42.640699	-70.62025
01969	45290411	4374192	17.487	1.689	42.720873	-70.89122
01970	21008974	14198304	8.112	5.482	42.527624	-70.86987
01982	36717877	1913529	14.177	0.739	42.626223	-70.85723
01983	30842814	2336369	11.908	0.902	42.641387	-70.943383
01984	19838062	1249328	7.66	0.482	42.600668	-70.88326
01985	34828194	3308938	13.447	1.278	42.799565	-70.964428
02019	47510557	1429091	18.344	0.552	42.076682	-71.47449
02021	48660863	2111651	18.788	0.815	42.175737	-71.125385
02025	25346557	2758545	9.786	1.065	42.236444	-70.814309
02026	26538812	1044567	10.247	0.403	42.246872	-71.179462
02030	39098446	877301	15.096	0.339	42.23416	-71.291167
02032	6056006	156977	2.338	0.061	42.156882	-71.216187
02035	51426194	2574941	19.856	0.994	42.061338	-71.245802
02038	68996270	1011555	26.64	0.391	42.084858	-71.410571
02043	57446109	2268144	22.18	0.876	42.216098	-70.88127
02045	6918741	14200914	2.671	5.483	42.297966	-70.929137
02047	619342	21905	0.239	0.008	42.134144	-70.686313
02048	52069118	822341	20.104	0.318	42.017302	-71.21642
02050	75362830	10904340	29.098	4.21	42.115139	-70.710331
02052	37318906	598407	14.409	0.231	42.184599	-71.305307
02053	29879659	338129	11.537	0.131	42.156203	-71.430345
02054	31164729	630915	12.033	0.244	42.173103	-71.363756
02056	38493628	1293847	14.862	0.5	42.11366	-71.33756
02061	54246184	798743	20.945	0.308	42.164569	-70.818844
02062	26826603	425406	10.358	0.164	42.187364	-71.195971
02066	42721854	6813357	16.495	2.631	42.202273	-70.758184
02067	58731269	2469582	22.676	0.954	42.1076	-71.181828
