id,name,state_id
721,"Liberty County",13
722,"Effingham County",13
723,"McIntosh County",13
724,"Bryan County",13
725,"Long County",13
726,"Chatham County",13
727,"Ware County",13
728,"Bacon County",13
729,"Coffee County",13
730,"Appling County",13
731,"Pierce County",13
732,"Glynn County",13
733,"Jeff Davis County",13
734,"Charlton County",13
735,"Brantley County",13
736,"Wayne County",13
737,"Camden County",13
738,"Lowndes County",13
739,"Cook County",13
740,"Berrien County",13
741,"Clinch County",13
742,"Atkinson County",13
743,"Brooks County",13
744,"Thomas County",13
745,"Lanier County",13
746,"Echols County",13
747,"Dougherty County",13
748,"Sumter County",13
749,"Turner County",13
750,"Mitchell County",13
751,"Colquitt County",13
752,"Tift County",13
753,"Ben Hill County",13
754,"Irwin County",13
755,"Lee County",13
756,"Worth County",13
757,"Talbot County",13
758,"Harris County",13
759,"Chattahoochee County",13
760,"Schley County",13
761,"Stewart County",13
762,"Muscogee County",13
763,"Webster County",13
764,"Clay County",12
765,"St. Johns County",12
766,"Putnam County",12
767,"Suwannee County",12
768,"Nassau County",12
769,"Lafayette County",12
770,"Columbia County",12
771,"Union County",12
772,"St Johns County",12
773,"Baker County",12
774,"Bradford County",12
775,"Hamilton County",12
776,"Madison County",12
777,"Duval County",12
778,"Lake County",12
779,"Volusia County",12
780,"Flagler County",12
781,"Marion County",12
782,"Sumter County",12
783,"Leon County",12
784,"Franklin County",12
785,"Liberty County",12
786,"Gadsden County",12
787,"Wakulla County",12
788,"Jefferson County",12
789,"Taylor County",12
790,"Bay County",12
791,"Jackson County",12
792,"Calhoun County",12
793,"Walton County",12
794,"Holmes County",12
795,"Washington County",12
796,"Gulf County",12
797,"Escambia County",12
798,"Santa Rosa County",12
799,"Okaloosa County",12
800,"Alachua County",12
801,"Gilchrist County",12
802,"Levy County",12
803,"Dixie County",12
804,"Seminole County",12
805,"Orange County",12
806,"Brevard County",12
807,"Indian River County",12
808,"Monroe County",12
809,"Miami-Dade County",12
810,"Broward County",12
811,,12
812,"Palm Beach County",12
813,"Hendry County",12
814,"Martin County",12
815,"Glades County",12
816,"Hillsborough County",12
817,"Pasco County",12
818,"Pinellas County",12
819,"Polk County",12
820,"Highlands County",12
821,"Hardee County",12
822,"Osceola County",12
823,"Lee County",12
824,"Charlotte County",12
825,"Collier County",12
826,"Manatee County",12
827,"Sarasota County",12
828,"Desoto County",12
829,"Citrus County",12
830,"Hernando County",12
831,"St Lucie County",12
832,"St. Lucie County",12
833,"Okeechobee County",12
834,"St Clair County",1
835,"Jefferson County",1
836,"Shelby County",1
837,"Tallapoosa County",1
838,"Blount County",1
839,"Talladega County",1
840,"Marshall County",1
841,"Cullman County",1
842,"Bibb County",1
843,"Walker County",1
844,"Chilton County",1
845,"St. Clair County",1
846,"Coosa County",1
847,"Clay County",1
848,"Tuscaloosa County",1
849,"Hale County",1
850,"Pickens County",1
851,"Greene County",1
852,"Sumter County",1
853,"Winston County",1
854,"Fayette County",1
855,"Marion County",1
856,"Lamar County",1
857,"Franklin County",1
858,"Morgan County",1
859,"Lauderdale County",1
860,"Limestone County",1
861,"Colbert County",1
862,"Lawrence County",1
863,"Jackson County",1
864,"Madison County",1
865,"Etowah County",1
866,"Cherokee County",1
867,"Dekalb County",1
868,"Autauga County",1
869,"Pike County",1
870,"Crenshaw County",1
871,"Montgomery County",1
872,"Butler County",1
873,"Barbour County",1
874,"Elmore County",1
875,"Bullock County",1
876,"Macon County",1
877,"Lowndes County",1
878,"Coffee County",1
879,"Covington County",1
880,"Calhoun County",1
881,"Cleburne County",1
882,"Randolph County",1
883,"Houston County",1
884,"Henry County",1
885,"Dale County",1
886,"Geneva County",1
887,"Conecuh County",1
888,"Monroe County",1
889,"Escambia County",1
890,"Wilcox County",1
891,"Clarke County",1
892,"Mobile County",1
893,"Baldwin County",1
894,"Washington County",1
895,"Dallas County",1
896,"Marengo County",1
897,"Perry County",1
898,"Lee County",1
899,"Russell County",1
900,"Chambers County",1
901,"Choctaw County",1
902,"Robertson County",49
903,"Davidson County",49
904,"De Kalb County",49
905,"Williamson County",49
906,"Cheatham County",49
907,"Cannon County",49
908,"Coffee County",49
909,"Marshall County",49
910,"Bedford County",49
911,"Sumner County",49
912,"Stewart County",49
913,"Hickman County",49
914,"Dickson County",49
915,"Smith County",49
916,"Rutherford County",49
917,"Montgomery County",49
918,"Trousdale County",49
919,"Houston County",49
920,"Wilson County",49
921,"Humphreys County",49
922,"Macon County",49
923,"Perry County",49
924,"Warren County",49
925,"Lincoln County",49
926,"Maury County",49
927,"Grundy County",49
928,"Hamilton County",49
929,"McMinn County",49
930,"Franklin County",49
931,"Polk County",49
932,"Bradley County",49
933,"Monroe County",49
934,"Rhea County",49
935,"Meigs County",49
936,"Sequatchie County",49
937,"Marion County",49
938,"Moore County",49
939,"Bledsoe County",49
940,"Shelby County",49
941,"Washington County",49
942,"Greene County",49
943,"Sullivan County",49
944,"Johnson County",49
945,"Hawkins County",49
946,"Carter County",49
947,"Unicoi County",49
948,"Blount County",49
949,"Anderson County",49
950,"Claiborne County",49
951,"Grainger County",49
952,"Cocke County",49
953,"Campbell County",49
954,"Morgan County",49
955,"Knox County",49
956,"Cumberland County",49
957,"Jefferson County",49
958,"Scott County",49
959,"Sevier County",49
960,"Loudon County",49
961,"Roane County",49
962,"Hancock County",49
963,"Hamblen County",49
964,"Union County",49
965,"Crockett County",49
966,"Tipton County",49
967,"Dyer County",49
968,"Hardeman County",49
969,"Fayette County",49
970,"Haywood County",49
971,"Lauderdale County",49
972,"McNairy County",49
973,"Lake County",49
974,"Carroll County",49
975,"Benton County",49
976,"Henry County",49
977,"Weakley County",49
978,,49
979,"Obion County",49
980,"Gibson County",49
981,"Madison County",49
982,"Decatur County",49
983,"Hardin County",49
984,"Henderson County",49
985,"Chester County",49
986,"Wayne County",49
987,"Giles County",49
988,"Lawrence County",49
989,"Lewis County",49
990,"Putnam County",49
991,"Fentress County",49
992,"Overton County",49
993,"Jackson County",49
994,"Pickett County",49
995,"Clay County",49
996,"White County",49
997,"Van Buren County",49
998,"Lafayette County",28
999,"Tate County",28
1000,"Benton County",28
1001,"Panola County",28
1002,"Quitman County",28
1003,"Tippah County",28
1004,"Marshall County",28
1005,"Coahoma County",28
1006,"Tunica County",28
1007,"Union County",28
1008,"DeSoto County",28
1009,"Washington County",28
1010,"Bolivar County",28
1011,"Sharkey County",28
1012,"Sunflower County",28
1013,"Issaquena County",28
1014,"Humphreys County",28
1015,"Lee County",28
1016,"Pontotoc County",28
1017,"Monroe County",28
1018,"Prentiss County",28
1019,"Tishomingo County",28
1020,"Alcorn County",28
1021,"Calhoun County",28
1022,"Itawamba County",28
1023,"Chickasaw County",28
1024,"Grenada County",28
1025,"Carroll County",28
1026,"Tallahatchie County",28
1027,"Yalobusha County",28
1028,"Holmes County",28
1029,"Montgomery County",28
1030,"Leflore County",28
1031,"Webster County",28
1032,"Yazoo County",28
1033,"Hinds County",28
1034,"Rankin County",28
1035,"Simpson County",28
1036,"Madison County",28
1037,"Leake County",28
1038,"Newton County",28
1039,"Copiah County",28
1040,"Attala County",28
1041,"Jefferson County",28
1042,"Scott County",28
1043,"Claiborne County",28
1044,"Smith County",28
1045,"Covington County",28
1046,"Adams County",28
1047,"Lawrence County",28
1048,"Warren County",28
1049,,28
1050,"Lauderdale County",28
1051,"Wayne County",28
1052,"Kemper County",28
1053,"Clarke County",28
1054,"Jasper County",28
1055,"Winston County",28
1056,"Noxubee County",28
1057,"Neshoba County",28
1058,"Greene County",28
1059,"Forrest County",28
1060,"Lamar County",28
1061,"Jefferson Davis County",28
1062,"Perry County",28
1063,"Pearl River County",28
1064,"Marion County",28
1065,"Jones County",28
1066,"George County",28
1067,"Walthall County",28
1068,"Harrison County",28
1069,"Hancock County",28
1070,"Jackson County",28
1071,"Stone County",28
1072,"Lincoln County",28
1073,"Franklin County",28
1074,"Wilkinson County",28
1075,"Pike County",28
1076,"Amite County",28
1077,"Lowndes County",28
1078,"Choctaw County",28
1079,"Clay County",28
1080,"Oktibbeha County",28
1081,"Calhoun County",13
1082,"Decatur County",13
1083,"Early County",13
1084,"Clay County",13
1085,"Terrell County",13
1086,"Grady County",13
1087,"Randolph County",13
1088,"Miller County",13
1089,"Seminole County",13
1090,"Quitman County",13
1091,"Baker County",13
